"Group name","Item","Item Summary","Estimation time","Spent time","Estimation","Spent time"
"-","PAR-154","Add confirmation window for acceptance report","0.5","0.5","0.5","0.5"
"-","PAR-155","Add filtering for the report list","0.5","0.5","0.5","0.5"
"-","PAR-156","Scrum meetings","7.5","5.5","7.5","5.5"
"-","PAR-157","Sprint planning ","21.0","20.5","21.0","20.5"
"-","PAR-158","Technical debt","2.0","2.0","2.0","2.0"
"-","PAR-159","Code and Test Refactoring","2.0","2.0","2.0","2.0"
"-","PAR-161","Preparation of the demo","1.5","2.0","1.5","2.0"
"-","PAR-162","Meeting","6.0","3.75","6.0","3.75"
"-","PAR-163","Supabase Refactoring","0.5","0.5","0.5","0.5"
"-","PAR-164","Delete ""public relation officer"" from technical offices","0.25","0.25","0.25","0.25"
"-","PAR-165","Patch DB - add new role and management report","0.5","0.75","0.5","0.75"
"-","PAR-166","FE - Patch technical off. page -> assign to external maintainer","0.5","0.5","0.5","0.5"
"-","PAR-167","Population DB (see notes)","0.75","0.8333333333333334","0.75","0.8333333333333334"
"-","PAR-168","BE - assign report to external operator","0.5","0.5","0.5","0.5"
"-","PAR-169","FE - API","0.5","0.25","0.5","0.25"
"-","PAR-170","Review code 24","4.5","4.25","4.5","4.25"
"-","PAR-171","BE - Unit test","1.0","1.0","1.0","1.0"
"-","PAR-172","FE - E2E Test","1.0","1.1666666666666667","1.0","1.1666666666666667"
"-","PAR-173","BE - Integration Test","2.0","2.0","2.0","2.0"
"-","PAR-174","FE - Clean up graphic design","2.0","2.0","2.0","2.0"
"-","PAR-175","BE - Patch API get all reports ","0.5","0.5","0.5","0.5"
"-","PAR-176","BE - Patch update status report","0.5","0.5","0.5","0.5"
"-","PAR-177","FE - External operator page","0.5","0.5","0.5","0.5"
"-","PAR-178","FE - Inspect report page and change status page","0.5","0.5","0.5","0.5"
"-","PAR-179","Code review 25","4.5","4.5","4.5","4.5"
"-","PAR-180","BE - Unit test","1.0","1.0","1.0","1.0"
"-","PAR-181","FE - E2E Test","1.0","1.0","1.0","1.0"
"-","PAR-182","BE - Integration test","1.5","1.5","1.5","1.5"
"-","PAR-183","Refactoring role","1.0","1.0","1.0","1.0"
"-","PAR-184","Documentation","2.0","2.0","2.0","2.0"
"-","PAR-185","BE - Confirmation Integration","1.0","1.0","1.0","1.0"
"-","PAR-186","FE - Verify email page","0.5","0.6666666666666666","0.5","0.6666666666666666"
"-","PAR-187","DB Patch","0.5","0.5","0.5","0.5"
"-","PAR-188","FE - E2E Tests","1.0","1.0","1.0","1.0"
"-","PAR-189","BE - Unit testing","1.5","1.5","1.5","1.5"
"-","PAR-190","Code Review","4.5","4.5","4.5","4.5"
"-","PAR-191","FE - API ","0.75","0.75","0.75","0.75"
"-","PAR-192","Login with username also","0.5","0.5","0.5","0.5"
"-","PAR-193","DB Patch ","0.5","0.5","0.5","0.5"
"-","PAR-194","FE - Chat page of a single report","1.5","1.75","1.5","1.75"
"-","PAR-195","BE - Get all comments for report","0.5","0.5","0.5","0.5"
"-","PAR-196","BE - Unit test","1.0","1.0","1.0","1.0"
"-","PAR-197","BE - Add comment to report","0.5","0.5","0.5","0.5"
"-","PAR-198","BE - Integration test","1.75","1.75","1.75","1.75"
"-","PAR-199","FE - E2E Test","0.75","0.75","0.75","0.75"
"-","PAR-200","Review Code 26 ","4.5","4.5","4.5","4.5"
"-","PAR-201","FE - API","0.75","0.75","0.75","0.75"
"-","PAR-202","BE - Integration test","1.5","1.5","1.5","1.5"
"-","PAR-203","BE - Code verification","1.0","1.0","1.0","1.0"
"-","PAR-204","Email Verification technical meeting","1.5","1.25","1.5","1.25"
"-","PAR-205","Hours tracking file","0.5","0.75","0.5","0.75"
"-","PAR-206","BE - Patch get all maintainers by office id","0.5","0.5833333333333334","0.5","0.5833333333333334"
"-","PAR-207","Fix change status API","0.25","0.25","0.25","0.25"
