"Group name","Item","Item Summary","Estimation time","Spent time","Estimation","Spent time"
"-","PAR-211","Fix issues- report assignment to external","1.0","1.0","1.0","1.0"
"-","PAR-212","Fix issues - expiration code","0.5","1.0","0.5","1.0"
"-","PAR-213","Fix issue - Username field in registration","0.5","0.5","0.5","0.5"
"-","PAR-214","DB refactoring","2.0","2.25","2.0","2.25"
"-","PAR-215","Technical debt","2.0","2.0","2.0","2.0"
"-","PAR-216","Scrum meetings (6 scrums)","9.0","6.25","9.0","6.25"
"-","PAR-217","Sprint planning","10.0","7.5","10.0","7.5"
"-","PAR-218","Notification explanation","1.5","1.5","1.5","1.5"
"-","PAR-219","Preparation for the demo ","2.0","2.0","2.0","2.0"
"-","PAR-220","Test Refactoring (end sprint)","6.0","5.5","6.0","5.5"
"-","PAR-221","Hours tracking file","0.75","0.75","0.75","0.75"
"-","PAR-222","FE - Change home page to show map ","0.75","0.8333333333333334","0.75","0.8333333333333334"
"-","PAR-223","BE - API check","0.25","0.25","0.25","0.25"
"-","PAR-224","FE - E2E test","0.5","0.75","0.5","0.75"
"-","PAR-225","Code review 28","3.0","3.0","3.0","3.0"
"-","PAR-226","BE - Unit Test","0.5","0.5","0.5","0.5"
"-","PAR-227","FE - anonymus choice ","0.5","0.5","0.5","0.5"
"-","PAR-228","FE - E2E test","0.75","0.75","0.75","0.75"
"-","PAR-230","BE - Unit test","0.5","0.5","0.5","0.5"
"-","PAR-231","Code review 15","3.0","3.0","3.0","3.0"
"-","PAR-232","FE - Check search bar funcionality","0.5","0.5","0.5","0.5"
"-","PAR-233","FE - E2E test","0.25","0.25","0.25","0.25"
"-","PAR-234","DB add new table for multiple roles","0.75","0.75","0.75","0.75"
"-","PAR-235","FE - change create user for admin","0.75","1.0","0.75","1.0"
"-","PAR-236","BE - API modify roles","0.75","0.75","0.75","0.75"
"-","PAR-237","BE - API delete role ","0.75","0.75","0.75","0.75"
"-","PAR-238","FE - API ","0.5","0.5","0.5","0.5"
"-","PAR-239","FE - E2E test ","1.0","1.0","1.0","1.0"
"-","PAR-240","BE - Unit test","1.0","1.0","1.0","1.0"
"-","PAR-241","BE - Integration test","1.0","1.0","1.0","1.0"
"-","PAR-242","Code review 10","4.5","4.5","4.5","4.5"
"-","PAR-243","Code review 30","1.5","1.5","1.5","1.5"
"-","PAR-244","FE - Patch main page","1.0","0.75","1.0","0.75"
"-","PAR-245","FE - Change user roles page","0.25","0.5","0.25","0.5"
"-","PAR-246","FE - Chat page for citizen and officer ","0.75","0.75","0.75","0.75"
"-","PAR-247","FE - Notification panel","0.5","0.5","0.5","0.5"
"-","PAR-248","Code review 11","4.5","4.5","4.5","4.5"
"-","PAR-249","BE - Unit test","1.0","1.0","1.0","1.0"
"-","PAR-250","BE - Integration test","1.0","1.0","1.0","1.0"
"-","PAR-251","FE - E2E test","1.0","1.0","1.0","1.0"
"-","PAR-252","FE - API","0.25","0.25","0.25","0.25"
"-","PAR-253","BE - API Websockets","1.0","1.25","1.0","1.25"
"-","PAR-254","FE - Technical officer change report status","0.5","0.5","0.5","0.5"
"-","PAR-255","DB Changes explained","1.5","1.25","1.5","1.25"
"-","PAR-256","BE Refactoring (end sprint)","6.0","5.5","6.0","5.5"
"-","PAR-257","FE Refactoring (end sprint)","6.0","5.75","6.0","5.75"
"-","PAR-258","FE - Manage reports already assigned to an officer that changed his role","0.75","0.75","0.75","0.75"
"-","PAR-259","BE Refactoring after DB changes","3.0","4.0","3.0","4.0"
"-","PAR-260","Diagram ER to understand better the changes done in the DB","0.25","0.25","0.25","0.25"
"-","PAR-261","Automatization of assigning reports to technical officers","1.0","1.0","1.0","1.0"
"-","PAR-262","Docker image","0.25","0.25","0.25","0.25"
"-","PAR-263","Meetings","6.0","7.0","6.0","7.0"
